Band,Band_Name,SA_T_Delivery,SA_W_SP_gkg,VAV-01E-01_Zone_T,VAV-01E-01_Zone_W_gkg,VAV-01E-01_CZ,VAV-01E-02_Zone_T,VAV-01E-02_Zone_W_gkg,VAV-01E-02_CZ
B1,COLD-DRY,21.0,6.17,23.3,6.92,IN,23.7,7.02,IN
B2,COLD-MOD,19.5,4.91,21.8,5.66,IN,22.2,5.76,IN
B3,COOL-DRY,19.0,6.13,21.3,6.88,IN,21.7,6.98,IN
B4,ECONOMIZER,20.0,5.8,22.3,6.55,IN,22.7,6.65,IN
B5,PASS-THROUGH,23.5,9.02,25.8,9.77,IN,26.2,9.87,IN
B6,WARM-MOD,25.0,10.88,27.3,11.63,OUT,27.7,11.73,OUT
B7,WARM-HUM,23.0,8.29,25.3,9.04,IN,25.7,9.14,IN
B8,HOT-HUM,22.0,8.86,24.3,9.61,IN,24.7,9.71,IN
B9,HOT-DRY,15.0,4.22,17.3,4.97,OUT,17.7,5.07,OUT
B10,EXTREME-HUM,22.0,7.75,24.3,8.5,IN,24.7,8.6,IN
