Band,Band_Name,OA_T_Lo,OA_T_Hi,OA_RH_Lo,OA_RH_Hi,SA_T_CC_SP,SA_Reheat_T,SA_T_Delivery,SA_W_SP_gkg,SA_RH_Delivery,OA_Damper_SP,CC_Mode,HC_Mode,HUM_Mode,Control_Tag,Energy_Rank,VAV-01E-01_Zone_T,VAV-01E-01_Zone_W_gkg,VAV-01E-01_CZ,VAV-01E-02_Zone_T,VAV-01E-02_Zone_W_gkg,VAV-01E-02_CZ
B1,COLD,-50,5,0,100,21.0,-,21.0,6.17,40.0,15,OFF,AGGRESSIVE,HUMIDIFY,HEATING + HUMIDIFY,9,23.3,6.92,IN,23.7,7.02,IN
B2,COOL,5,16,0,100,19.5,-,19.5,4.91,35.0,15,OFF,MODERATE,COND_HUM,HEATING (+/-HUM),8,21.8,5.66,IN,22.2,5.76,IN
B3,MILD-DRY,15,22,0,35,19.0,-,19.0,6.13,45.0,30,OFF,OFF,HUMIDIFY,RH PRIORITY - HUMIDIFY,6,21.3,6.88,IN,21.7,6.98,IN
B4,ECONOMIZER,18,23,32,55,20.0,-,20.0,5.8,40.0,100,OFF,OFF,OFF,ECONOMIZER,2,22.3,6.55,IN,22.7,6.65,IN
B5,PASS-THROUGH,22,26,40,70,23.5,-,23.5,9.02,50.0,100,OFF,OFF,OFF,PASS-THROUGH,1,25.8,9.77,IN,26.2,9.87,IN
B6,WARM-MOD,25,28,45,70,25.0,-,25.0,10.88,55.0,50,LIGHT,OFF,ACCEPT,RH PRIORITY - OA REDUCE,5,27.3,11.63,OUT,27.7,11.73,OUT
B7,WARM-HUM,26,36,45,90,12.0,23.0,23.0,8.29,47.0,15,AGGRESSIVE,REHEAT,SUBCOOL_REHEAT,CC SUBCOOL + REHEAT,7,25.3,9.04,IN,25.7,9.14,IN
B8,HOT-HUM,32,45,65,100,13.0,22.0,22.0,8.86,54.0,15,MAXIMUM,REHEAT,SUBCOOL_REHEAT,MAX COOL + SUBCOOL DEHUMID,10,24.3,9.61,IN,24.7,9.71,IN
B9,HOT-DRY,25,50,0,50,15.0,-,15.0,4.22,40.0,15,AGGRESSIVE,OFF,OFF,COOLING ONLY - DRY AIR,4,17.3,4.97,OUT,17.7,5.07,OUT
B10,EXTREME-HUM,28,50,80,100,11.0,22.0,22.0,7.75,47.0,15,MAXIMUM,REHEAT,SUBCOOL_REHEAT,EXTREME HUMID - MAX SUBCOOL,3,24.3,8.5,IN,24.7,8.6,IN
